"BUYER_STATE","BUYER_COUNTY","MONTH_NUM","YEAR_NUM","TOTAL_PILLS"
"KY","ADAIR","1","2006","60000"
"KY","ADAIR","2","2006","49330"
"KY","ADAIR","3","2006","60300"
"KY","ADAIR","4","2006","50000"
"KY","ADAIR","5","2006","57500"
"KY","ADAIR","6","2006","60700"
"KY","ADAIR","7","2006","58900"
"KY","ADAIR","8","2006","61700"
"KY","ADAIR","9","2006","55400"
"KY","ADAIR","10","2006","63500"
"KY","ADAIR","11","2006","59400"
"KY","ADAIR","12","2006","58260"
"KY","ADAIR","1","2007","63250"
"KY","ADAIR","2","2007","52860"
"KY","ADAIR","3","2007","71120"
"KY","ADAIR","4","2007","64100"
"KY","ADAIR","5","2007","53600"
"KY","ADAIR","6","2007","56400"
"KY","ADAIR","7","2007","50000"
"KY","ADAIR","8","2007","60600"
"KY","ADAIR","9","2007","52200"
"KY","ADAIR","10","2007","56700"
"KY","ADAIR","11","2007","53300"
"KY","ADAIR","12","2007","57600"
"KY","ADAIR","1","2008","68900"
"KY","ADAIR","2","2008","59000"
"KY","ADAIR","3","2008","67640"
"KY","ADAIR","4","2008","67240"
"KY","ADAIR","5","2008","72460"
"KY","ADAIR","6","2008","61800"
"KY","ADAIR","7","2008","72500"
"KY","ADAIR","8","2008","62460"
"KY","ADAIR","9","2008","73630"
"KY","ADAIR","10","2008","74330"
"KY","ADAIR","11","2008","64300"
"KY","ADAIR","12","2008","78660"
"KY","ADAIR","1","2009","79200"
"KY","ADAIR","2","2009","68700"
"KY","ADAIR","3","2009","70700"
"KY","ADAIR","4","2009","75160"
"KY","ADAIR","5","2009","66500"
"KY","ADAIR","6","2009","80490"
"KY","ADAIR","7","2009","74500"
"KY","ADAIR","8","2009","66730"
"KY","ADAIR","9","2009","76260"
"KY","ADAIR","10","2009","84300"
"KY","ADAIR","11","2009","78700"
"KY","ADAIR","12","2009","76530"
"KY","ADAIR","1","2010","75300"
"KY","ADAIR","2","2010","68100"
"KY","ADAIR","3","2010","83100"
"KY","ADAIR","4","2010","91400"
"KY","ADAIR","5","2010","95900"
"KY","ADAIR","6","2010","100300"
"KY","ADAIR","7","2010","85400"
"KY","ADAIR","8","2010","80000"
"KY","ADAIR","9","2010","86000"
"KY","ADAIR","10","2010","82300"
"KY","ADAIR","11","2010","84930"
"KY","ADAIR","12","2010","100430"
"KY","ADAIR","1","2011","108200"
"KY","ADAIR","2","2011","79600"
"KY","ADAIR","3","2011","101730"
"KY","ADAIR","4","2011","108400"
"KY","ADAIR","5","2011","96130"
"KY","ADAIR","6","2011","87930"
"KY","ADAIR","7","2011","96130"
"KY","ADAIR","8","2011","121700"
"KY","ADAIR","9","2011","97230"
"KY","ADAIR","10","2011","102130"
"KY","ADAIR","11","2011","120900"
"KY","ADAIR","12","2011","92430"
"KY","ADAIR","1","2012","95200"
"KY","ADAIR","2","2012","86930"
"KY","ADAIR","3","2012","101690"
"KY","ADAIR","4","2012","104000"
"KY","ADAIR","5","2012","97700"
"KY","ADAIR","6","2012","103380"
"KY","ADAIR","7","2012","102430"
"KY","ADAIR","8","2012","103760"
"KY","ADAIR","9","2012","89620"
"KY","ADAIR","10","2012","102860"
"KY","ADAIR","11","2012","111200"
"KY","ADAIR","12","2012","90690"
"KY","ADAIR","1","2013","88060"
"KY","ADAIR","2","2013","101800"
"KY","ADAIR","3","2013","103260"
"KY","ADAIR","4","2013","96500"
"KY","ADAIR","5","2013","96430"
