"MONTHLY_SUM","SMOOTH"
"725480","725480"
"736050","730765"
"691110","717546"
"731260","719473"
"822270","748213"
"835240","796256"
"804590","820700"
"868640","836156"
"772350","815193"
"827560","822850"
"858640","819516"
"780680","822293"
"841320","826880"
"716920","779640"
"780020","779420"
"730230","742390"
"767360","759203"
"730570","742720"
"681480","726470"
"837130","749726"
"652020","723543"
"614650","701266"
"637530","634733"
"553690","601956"
"597460","596226"
"600880","584010"
"593500","597280"
"657020","617133"
"689190","646570"
"686190","677466"
"749720","708366"
"648720","694876"
"747530","715323"
"721880","706043"
"678590","716000"
"831650","744040"
"674240","728160"
"699160","735016"
"759670","711023"
"820720","759850"
"724480","768290"
"769270","771490"
"797390","763713"
"746830","771163"
"835530","793250"
"811530","797963"
"776280","807780"
"809960","799256"
"841810","809350"
"821540","824436"
"875710","846353"
"901740","866330"
"765110","847520"
"955320","874056"
"793580","838003"
"856830","868576"
"907760","852723"
"838890","867826"
"956350","901000"
"839750","878330"
"911770","902623"
"854320","868613"
"897430","887840"
"898330","883360"
"928040","907933"
"960950","929106"
"933000","940663"
"935700","943216"
"1014960","961220"
"961540","970733"
"912880","963126"
"860810","911743"
"882320","885336"
"825350","856160"
"906700","871456"
"887350","873133"
"888130","894060"
"819040","864840"
"826030","844400"
"849390","831486"
"755060","810160"
"819820","808090"
"776760","783880"
"700870","765816"
"814500","764043"
"708560","741310"
"729250","750770"
"766740","734850"
"770680","755556"
"715720","751046"
"773450","753283"
"797330","762166"
"735230","768670"
"785260","772606"
"680400","733630"
"709400","725020"
"746160","711986"
"683200","712920"
"739330","722896"
"731130","717886"
"791660","754040"
"736090","752960"
"720960","749570"
"810080","755710"
"683490","738176"
"716260","736610"
"599580","666443"
"777890","697910"

